
1990;0.276675	;	0.334664465
1991;0.197591667	;	0.241223947
1992;0.199591667	;	0.239194803
1993;0.220975	;	0.255987395
1994;0.266983333	;	0.318862544
1995;0.292783333	;	0.318519599
1996;0.263575	;	0.29231344
1997;0.25065	;	0.291717625
1998;0.196725	;	0.239409485
1999;0.138091667	;	0.17134792
2000;0.180358333	;	0.226695798
2001;0.190391667	;	0.248628139
2002;0.151825	;	0.200606984
2003;0.156301967	;	0.196314936
2004;0.157986076	;	0.185808973
2005;0.217926687	;	0.24847884
2006;0.325872391	;	0.362377764
2007;0.222152209	;	0.232791442
2008;0.282136245	;	0.274361113
2009;0.400028299	;	0.414699935
2010;0.469346896	;	0.469346896
2011;0.573164456	;	0.51646416
2012;0.474945414	;	0.431018388
2013;0.390044707	;	0.355484103
2014;0.37498749	;	0.347132641
2015;0.296264184	;	0.303480605
2016;0.398062513	;	0.424577656
2017;0.359000321	;	0.382913512
